fund_type,fund_code,fund_desc,dept_num,dept_desc,approp_auth,approp_auth_desc,approp_acc,approp_acc_desc,ordinance,year,department
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,163,MAINT STREETS,4570000.0,2019,Chicago Department of Aviation
LOCAL,0300,VEHICLE FUND,84,CDOT,2135,INFRASTRUCTURE MANAGEMENT,149,SOFTWARE MAINTENANCE AND LICENSING,107769.0,2019,Chicago Department of Transportation
LOCAL,0100,CORPORATE FUND,35,DPS,2005,PROCUREMENT SERVICES,171,MISCELLANEOUS SUPPLIES,8000.0,2019,Department of Procurement Services
LOCAL,0100,CORPORATE FUND,84,CDOT,2105,COMMISSIONER'S OFFICE,181,MOBILE COMMUNICATION SERVICES,11600.0,2019,Chicago Department of Transportation
LOCAL,0100,CORPORATE FUND,35,DPS,2005,PROCUREMENT SERVICES,130,POSTAGE,6018.0,2019,Department of Procurement Services
LOCAL,0300,VEHICLE FUND,25,CITY CLERK,2005,CITY CLERK,229,TRANSPORTATION AND EXPENSE ALLOWANCE,26000.0,2019,Office of City Clerk
LOCAL,0100,CORPORATE FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,39,STUDENT AS TRAINEES,7500.0,2019,Department of Finance
GRANTS,0Z47,SUBSTANCE ABUSE AND AIDS PREV. HEAR IMP,48,MOPD,2805,SUBSTANCE ABUSE/AIDS PREV-H.I.,6,SALARY PROVISION,39000.0,2019,Mayor's Office for People with Disabilities
CDBG,0J45,CDBG,21,HOUSING,2558,Emergency Repair,15,SCHEDULE SALARY ADJUSTMENTS,14031.0,2019,Department of Housing
GRANTS,0V86,LOCAL LAW ENFORCEMENT CRIME GUN INTEL,57,CPD,280R,Gun Intelligence Integration,801,INDIRECT COSTS,24000.0,2019,Chicago Police Department
LOCAL,0100,CORPORATE FUND,35,DPS,2005,PROCUREMENT SERVICES,270,LOCAL TRANSPORTATION,290.0,2019,Department of Procurement Services
GRANTS,0U78,HIGH RISK INFANT FOLLOW-UP - STATE,41,HEALTH,280Z,High Risk Infant Follow-Up,11,CONTRACT WAGE - SALARY,29696.0,2019,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,446,PURCHASE - DATA HARDWARE,17510.0,2019,Department of Planning and Development
LOCAL,0200,WATER FUND,88,DWM,2035,METER SERVICES,360,REPAIR PARTS AND MATERIAL,104500.0,2019,Department of Water Management
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,169,TECHNICAL MEETING COSTS,55420.0,2019,Board of Election Commissioners
LOCAL,0314,SEWER FUND,38,FFM,2140,FLEET OPERATIONS,149,SOFTWARE MAINTENANCE AND LICENSING,20134.0,2019,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,30,ADMINISTRATIVE HEARINGS,2005,ADMINISTRATIVE HEARINGS,20,OVERTIME,1480.0,2019,Department of Administrative Hearings
GRANTS,0U72,TOBACCO FREE COMMUNITIES,41,HEALTH,2868,TOBACCO FREE COMMUNITIES,44,FRINGE BENEFITS,170243.0,2019,Chicago Department of Public Health
CDBG,0J45,CDBG,21,HOUSING,2557,Housing Preservation,350,STATIONERY AND OFFICE SUPPLIES,3000.0,2019,Department of Housing
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,140,PROFESSIONAL AND TECHNICAL SERVICES,25409.0,2019,Mayor's Office for People with Disabilities
GRANTS,0U38,WOMEN  INFANTS AND CHILDREN NUTRITION,41,HEALTH,2808,WIC NUTRITION,153,PROMOTIONS,2012.0,2019,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,11,CONTRACT WAGE - SALARY,535155.0,2019,Office of Emergency Management and Communications
GRANTS,0Y02,STATE FOSTER GRANDPARENTS,50,DFSS,2818,STATE FOSTER GRANDPARENTS,229,TRANSPORTATION AND EXPENSE ALLOWANCE,2000.0,2019,Department of Family and Support Services
LOCAL,0300,VEHICLE FUND,84,CDOT,2135,INFRASTRUCTURE MANAGEMENT,350,STATIONERY AND OFFICE SUPPLIES,11000.0,2019,Chicago Department of Transportation
GRANTS,0V85,PORT SECURITY - MATCH,57,CPD,280N,Port Security,140,PROFESSIONAL AND TECHNICAL SERVICES,199000.0,2019,Chicago Police Department
LOCAL,0353,EMERGENCY COMMUN FD,58,OEMC,2705,OEMC,190,TELEPHONE - NON-CENTREX BILLINGS,380000.0,2019,Office of Emergency Management and Communications
LOCAL,0200,WATER FUND,88,DWM,2020,WATER SUPPLY,159,LEASE/PURCHASE EQUIPMENT,170500.0,2019,Department of Water Management
LOCAL,0314,SEWER FUND,88,DWM,2025,OPERATIONS AND DISTRIBUTION,440,MACHINERY AND EQUIPMENT,245923.0,2019,Department of Water Management
LOCAL,0200,WATER FUND,88,DWM,2025,OPERATIONS AND DISTRIBUTION,401,TOOL <= $100 UNIT,3000.0,2019,Department of Water Management
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,2015,CULTURAL AFFAIRS SPECIAL EVENT,152,ADVERTISING,189000.0,2019,Department of Cultural Affairs and Special Events
GRANTS,0Z57,ILLINOIS LIBRARY DEVELOPMENT,91,CPL,2895,ILL LIBRARY DEVEL. PER CAPITA,5,SALARIES AND WAGES - ON PAYROLL,5104514.0,2019,Chicago Public Library
CDBG,0J45,CDBG,67,BUILDINGS,2510,CODE ENFORCEMENT,181,MOBILE COMMUNICATION SERVICES,12750.0,2019,Department of Buildings
GRANTS,0U23,IMMUNIZATION /VACCINES FOR CHILDREN,41,HEALTH,2820,IMMUNIZATIONS,125,OFFICE AND BUILDING SERVICES,2500.0,2019,Chicago Department of Public Health
CDBG,0J45,CDBG,48,MOPD,2525,HOME MOD PROGRAM,15,SCHEDULE SALARY ADJUSTMENTS,1110.0,2019,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,84,CDOT,2145,PROJECT DEVELOPMENT,350,STATIONERY AND OFFICE SUPPLIES,7250.0,2019,Chicago Department of Transportation
LOCAL,0346,LIBRARY FUND,38,FFM,2126,BUREAU OF FACILITY MANAGEMENT,313,CLEANING AND SANITATION SUPPLIES,213490.0,2019,Department of Fleet and Facility Management
LOCAL,0314,SEWER FUND,88,DWM,2025,OPERATIONS AND DISTRIBUTION,345,APPARATUS AND INSTRUMENTS,1500.0,2019,Department of Water Management
GRANTS,0U40,INTEGRATED HIV SURVEILLANCE AND PREV.,41,HEALTH,280Y,HIV Surveillance and Preventn,44,FRINGE BENEFITS,1321892.0,2019,Chicago Department of Public Health
GRANTS,0075,GRANTS MANAGEMENT FUND,5,OBM,2855,GRANTS MANAGEMENT,44,FRINGE BENEFITS,470435.0,2019,Office of Budget and Management
CDBG,0J45,CDBG,21,HOUSING,2558,Emergency Repair,9264,EHRP,900000.0,2019,Department of Housing
LOCAL,0100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,350,STATIONERY AND OFFICE SUPPLIES,20500.0,2019,Department of Finance
LOCAL,0100,CORPORATE FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,160,REPAIR/MAINT PROPERTY,240000.0,2019,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,88,DWM,2025,OPERATIONS AND DISTRIBUTION,424,FURNITURE AND FURNISHINGS,3000.0,2019,Department of Water Management
LOCAL,0346,LIBRARY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,450,VEHICLES,100000.0,2019,Finance General
GRANTS,0U61,LOCAL HEALTH PROTECTION,41,HEALTH,2730,Local Health Protection,149,SOFTWARE MAINTENANCE AND LICENSING,800.0,2019,Chicago Department of Public Health
GRANTS,0Y12,EMERGENCY AND TRANSITIONAL HOUSING,50,DFSS,2942,Emergency /Transitional Housng,140,PROFESSIONAL AND TECHNICAL SERVICES,2000.0,2019,Department of Family and Support Services
LOCAL,0100,CORPORATE FUND,31,LAW,2005,LAW,197,TELEPHONE - MAINTENANCE,4775.0,2019,Department of Law
LOCAL,0100,CORPORATE FUND,73,ANIMAL CARE / CONTROL,2005,ANIMAL CARE AND CONTROL,152,ADVERTISING,2000.0,2019,Chicago Animal Care and Control
LOCAL,0100,CORPORATE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,319,CLOTHING,5900.0,2019,Chicago Department of Transportation
LOCAL,0300,VEHICLE FUND,81,DSS,2070,BUREAU OF TRAFFIC SERVICES,350,STATIONERY AND OFFICE SUPPLIES,33000.0,2019,Department of Streets and Sanitation
LOCAL,0100,CORPORATE FUND,73,ANIMAL CARE / CONTROL,2005,ANIMAL CARE AND CONTROL,20,OVERTIME,145000.0,2019,Chicago Animal Care and Control
LOCAL,0100,CORPORATE FUND,45,HUMAN RELATIONS,2005,HUMAN RELATIONS,197,TELEPHONE - MAINTENANCE,345.0,2019,Chicago Commission on Human Relations
GRANTS,0X16,SOLID WASTE MANAGEMENT,41,HEALTH,2722,SOLID WASTE MANAGEMENT,44,FRINGE BENEFITS,33903.0,2019,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,197,TELEPHONE - MAINTENANCE,44280.0,2019,Office of Emergency Management and Communications
GRANTS,0X27,TUBERCULOSIS CONTROL,41,HEALTH,2824,TUBERCULOSIS CONTROL,15,SCHEDULE SALARY ADJUSTMENTS,3870.0,2019,Chicago Department of Public Health
CDBG,0J45,CDBG,27,FINANCE,2512,ACCOUNTING FINANCIAL REPORTING,348,BOOKS AND RELATED MATERIAL,12000.0,2019,Department of Finance
GRANTS,0833,MOPD PRIVATE FUNDED,48,MOPD,2800,AMPLIFIED PHONES PROGRAM,178,FREIGHT AND EXPRESS CHARGES,500.0,2019,Mayor's Office for People with Disabilities
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,130,POSTAGE,12000.0,2019,Office of Emergency Management and Communications
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,982,RECOGNITION FOR HEROSIM,1000.0,2019,City Council
GRANTS,0Z28,LABOR MANAGEMENT COOPERATION,5,OBM,2820,Labor Management Cooperation,140,PROFESSIONAL AND TECHNICAL SERVICES,4000.0,2019,Office of Budget and Management
GRANTS,0Z56,ART WORKS PROGRAM,23,DCASE,2865,Art Works,140,PROFESSIONAL AND TECHNICAL SERVICES,50000.0,2019,Department of Cultural Affairs and Special Events
GRANTS,0Y48,EARLY HEAD START - CHILD CARE PARTNERSHI,50,DFSS,2956,EHS - Child Care Partnership,140,PROFESSIONAL AND TECHNICAL SERVICES,1475847.0,2019,Department of Family and Support Services
LOCAL,0200,WATER FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,159,LEASE/PURCHASE EQUIPMENT,18542.0,2019,Department of Finance
LOCAL,0100,CORPORATE FUND,38,FFM,2126,BUREAU OF FACILITY MANAGEMENT,162,REPAIR/MAINT EQUIPMENT,2500000.0,2019,Department of Fleet and Facility Management
CDBG,0J45,CDBG,21,HOUSING,2563,Construction and Compliance,446,PURCHASE - DATA HARDWARE,9400.0,2019,Department of Housing
CDBG,0J45,CDBG,50,DFSS,2501,PLANNING AND ADMINISTRATION,350,STATIONERY AND OFFICE SUPPLIES,2400.0,2019,Department of Family and Support Services
GRANTS,0U38,WOMEN  INFANTS AND CHILDREN NUTRITION,41,HEALTH,2808,WIC NUTRITION,138,IT MAINTENANCE,39713.0,2019,Chicago Department of Public Health
LOCAL,0300,VEHICLE FUND,84,CDOT,2135,INFRASTRUCTURE MANAGEMENT,150,PUBLICATN & REPRODT-OUT,1900.0,2019,Chicago Department of Transportation
GRANTS,0Z01,SMART GRID,1,MAYOR,2804,Smart Grid / Energy Efficiency,6,SALARY PROVISION,5057.0,2019,Office of the Mayor
LOCAL,0100,CORPORATE FUND,81,DSS,2005,COMMISSIONER'S OFFICE,348,BOOKS AND RELATED MATERIAL,150.0,2019,Department of Streets and Sanitation
LOCAL,0100,CORPORATE FUND,38,FFM,2140,FLEET OPERATIONS,149,SOFTWARE MAINTENANCE AND LICENSING,372969.0,2019,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,33,DHR,2005,HUMAN RESOURCES,166,DUES  SUBSC & MEM,2040.0,2019,Department of Human Resources
LOCAL,0353,EMERGENCY COMMUN FD,58,OEMC,2705,OEMC,12,CONTRACT WAGE - PREVAILING RATE,148289.0,2019,Office of Emergency Management and Communications
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,55,EXTRA HIRE,12503094.0,2019,Board of Election Commissioners
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,150,PUBLICATN & REPRODT-OUT,4000.0,2019,Office of City Clerk
LOCAL,0314,SEWER FUND,88,DWM,2025,OPERATIONS AND DISTRIBUTION,402,TOOLS > $100 UNIT,124673.0,2019,Department of Water Management
LOCAL,0100,CORPORATE FUND,81,DSS,2020,BUREAU OF SANITATION,166,DUES  SUBSC & MEM,1795.0,2019,Department of Streets and Sanitation
LOCAL,0200,WATER FUND,88,DWM,2010,ADMINISTRATIVE SUPPORT,154,RENTAL-DATA HARDWARE EQ,90000.0,2019,Department of Water Management
GRANTS,0U65,STD PREVENTION,41,HEALTH,2814,SEXUALLY TRANSMITTED DISEASE C,15,SCHEDULE SALARY ADJUSTMENTS,6166.0,2019,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2260,COMMITTEE ON EDUCATION & CHILD,100,CONTRACTUAL SERVICES,3000.0,2019,City Council
GRANTS,0U26,MATERNAL AND CHILD HEALTH,41,HEALTH,2910,MATERNAL AND CHILD HEALTH,245,REIMBURSEMENT TO TRAVELERS,6723.0,2019,Chicago Department of Public Health
GRANTS,0V99,EDWARD BYRNE MEMORIAL JAG,57,CPD,2996,Edward Byrne Memorial JAG,140,PROFESSIONAL AND TECHNICAL SERVICES,2155434.0,2019,Chicago Police Department
GRANTS,0Z37,NEA - ART WORKS PROGRAM,23,DCASE,2865,Art Works,140,PROFESSIONAL AND TECHNICAL SERVICES,50000.0,2019,Department of Cultural Affairs and Special Events
CDBG,0J45,CDBG,50,DFSS,2525,SENIOR SERVICES,15,SCHEDULE SALARY ADJUSTMENTS,4420.0,2019,Department of Family and Support Services
GRANTS,0Z44,CHICAGO CULTURAL CENTER EXHIBITION,23,DCASE,2855,CULTURAL CENTER EXHIBITION,140,PROFESSIONAL AND TECHNICAL SERVICES,250000.0,2019,Department of Cultural Affairs and Special Events
CDBG,0J45,CDBG,50,DFSS,2501,PLANNING AND ADMINISTRATION,166,DUES  SUBSC & MEM,1400.0,2019,Department of Family and Support Services
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,154,RENTAL-DATA HARDWARE EQ,9599.0,2019,Office of Inspector General
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,181,MOBILE COMMUNICATION SERVICES,1868.0,2019,Mayor's Office for People with Disabilities
GRANTS,0U38,WOMEN  INFANTS AND CHILDREN NUTRITION,41,HEALTH,2808,WIC NUTRITION,801,INDIRECT COSTS,37500.0,2019,Chicago Department of Public Health
LOCAL,0200,WATER FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,154,RENTAL-DATA HARDWARE EQ,50000.0,2019,Department of Finance
LOCAL,0610,MIDWAY AIRPORT FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,15,SCHEDULE SALARY ADJUSTMENTS,2440.0,2019,Department of Finance
LOCAL,0100,CORPORATE FUND,57,CPD,1005,Chicago Police Department,313,CLEANING AND SANITATION SUPPLIES,381.0,2019,Chicago Police Department
LOCAL,0100,CORPORATE FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,197,TELEPHONE - MAINTENANCE,180260.0,2019,Department of Finance
LOCAL,0100,CORPORATE FUND,77,LICENSE APPEAL,2005,LICENSE APPEAL COMMISSION,143,COURT REPORTING,10000.0,2019,License Appeal Commission
GRANTS,0X71,HOPWA HOUSING AND HEALTH STUDY,41,HEALTH,2961,HOPWA HOUSING AND HEALTH STUDY,135,DELEGATE AGENCIES,1488000.0,2019,Chicago Department of Public Health
LOCAL,0200,WATER FUND,88,DWM,2020,WATER SUPPLY,342,DRUGS  MEDICINE AND CHEMICAL MATERIALS,11472328.0,2019,Department of Water Management
GRANTS,0Y33,EARLY HEAD START INITIATIVE,50,DFSS,2857,EARLY HEAD START INITIATIVE,5,SALARIES AND WAGES - ON PAYROLL,884088.0,2019,Department of Family and Support Services
GRANTS,0T73,AREA PLAN ON AGING - OLDER AMERICANS ACT,50,DFSS,2904,AREA PLAN ON AGING - FEDERAL,245,REIMBURSEMENT TO TRAVELERS,1000.0,2019,Department of Family and Support Services
LOCAL,0300,VEHICLE FUND,81,DSS,2045,BUREAU OF STREET OPERATIONS,423,COMMUNICATION DEVICES,17450.0,2019,Department of Streets and Sanitation
GRANTS,0Z77,TECHNOLOGY INNOVATION FOR PUBLIC SAFETY,57,CPD,2811,TECHNOLOGY OPPORTUNITIES,5,SALARIES AND WAGES - ON PAYROLL,67302.0,2019,Chicago Police Department
LOCAL,0200,WATER FUND,88,DWM,2020,WATER SUPPLY,340,MATERIAL AND SUPPLIES,3083800.0,2019,Department of Water Management
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,45,PREM TERM LIFE INSURANCE,7683.0,2019,Finance General
LOCAL,0100,CORPORATE FUND,84,CDOT,2150,ELECTRICAL OPERATIONS,12,CONTRACT WAGE - PREVAILING RATE,97807.0,2019,Chicago Department of Transportation
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,348,BOOKS AND RELATED MATERIAL,2700.0,2019,Department of Technology and Innovation
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,181,MOBILE COMMUNICATION SERVICES,459584.0,2019,Office of Emergency Management and Communications
LOCAL,0100,CORPORATE FUND,57,CPD,1005,Chicago Police Department,149,SOFTWARE MAINTENANCE AND LICENSING,9144475.0,2019,Chicago Police Department
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,159,LEASE/PURCHASE EQUIPMENT,16572.0,2019,Mayor's Office for People with Disabilities
CDBG,0J45,CDBG,67,BUILDINGS,2505,TROUBLED BUILDINGS PROGRAM,181,MOBILE COMMUNICATION SERVICES,12750.0,2019,Department of Buildings
GRANTS,0Y21,AREA PLAN ON AGING - OLDER AMERICANS ACT,50,DFSS,2904,AREA PLAN ON AGING - FEDERAL,350,STATIONERY AND OFFICE SUPPLIES,4500.0,2019,Department of Family and Support Services
LOCAL,0100,CORPORATE FUND,38,FFM,2126,BUREAU OF FACILITY MANAGEMENT,20,OVERTIME,510000.0,2019,Department of Fleet and Facility Management
CDBG,0J45,CDBG,48,MOPD,2505,DISABILITY RESOURCES,340,MATERIAL AND SUPPLIES,1782.0,2019,Mayor's Office for People with Disabilities
GRANTS,0Y11,EMERGENCY SOLUTIONS,50,DFSS,2944,Emergency Solutions,15,SCHEDULE SALARY ADJUSTMENTS,2826.0,2019,Department of Family and Support Services
GRANTS,0V59,PORT SECURITY,57,CPD,280N,Port Security,140,PROFESSIONAL AND TECHNICAL SERVICES,570000.0,2019,Chicago Police Department
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,196,DATA CIRCUITS,230000.0,2019,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,84,CDOT,2140,Sign Management,181,MOBILE COMMUNICATION SERVICES,28200.0,2019,Chicago Department of Transportation
GRANTS,0U64,RYAN WHITE HIV CARE ACT PART A - EM REL.,41,HEALTH,2731,Ryan White HIV Care Act Part A,15,SCHEDULE SALARY ADJUSTMENTS,7663.0,2019,Chicago Department of Public Health
CDBG,0J45,CDBG,54,PLANNING AND DEVELOPMENT,2505,FINANCE AND ADMINISTRATION,179,MESSENGER SERVICES,500.0,2019,Department of Planning and Development
GRANTS,0V68,PROJECT SAFE NEIGHBORHOOD,57,CPD,2859,PROJECT SAFE NEIGHBORHOODS,245,REIMBURSEMENT TO TRAVELERS,3000.0,2019,Chicago Police Department
GRANTS,0V49,COPS HIRING PROGRAM,57,CPD,2983,COPS HIRING PROGRAM,5,SALARIES AND WAGES - ON PAYROLL,1021657.0,2019,Chicago Police Department
LOCAL,0300,VEHICLE FUND,81,DSS,2070,BUREAU OF TRAFFIC SERVICES,140,PROFESSIONAL AND TECHNICAL SERVICES,9044700.0,2019,Department of Streets and Sanitation
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,45,PREM TERM LIFE INSURANCE,56279.0,2019,Finance General
LOCAL,0300,VEHICLE FUND,84,CDOT,2125,ENGINEERING,150,PUBLICATN & REPRODT-OUT,1000.0,2019,Chicago Department of Transportation
GRANTS,0K76,GET BEHIND THE VEST,57,CPD,2999,Get Behind the Vest,340,MATERIAL AND SUPPLIES,767000.0,2019,Chicago Police Department
LOCAL,0100,CORPORATE FUND,57,CPD,1005,Chicago Police Department,189,TELEPHONE - NON-CENTREX BILLINGS,455355.0,2019,Chicago Police Department
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,190,TELEPHONE - NON-CENTREX BILLINGS,4500.0,2019,Office of Budget and Management
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,152,ADVERTISING,57780.0,2019,Office of City Clerk
GRANTS,0T74,AREA PLAN ON AGING - STATE,50,DFSS,2903,AREA PLAN ON AGING - STATE,229,TRANSPORTATION AND EXPENSE ALLOWANCE,2000.0,2019,Department of Family and Support Services
LOCAL,0740,O HARE REVENUE FUND,59,CFD,2005,Chicago Fire Department,88,FURLOUGH / COMP TIME BUY-BACK,440000.0,2019,Chicago Fire Department
LOCAL,0100,CORPORATE FUND,78,ETHICS,2005,BOARD OF ETHICS,5,SALARIES AND WAGES - ON PAYROLL,796428.0,2019,Board of Ethics
GRANTS,0U54,HIGH RISK INFANT FOLLOW-UP - FEDERAL,41,HEALTH,280Z,High Risk Infant Follow-Up,6,SALARY PROVISION,72000.0,2019,Chicago Department of Public Health
GRANTS,0Y48,EARLY HEAD START - CHILD CARE PARTNERSHI,50,DFSS,2956,EHS - Child Care Partnership,15,SCHEDULE SALARY ADJUSTMENTS,7849.0,2019,Department of Family and Support Services
LOCAL,0100,CORPORATE FUND,84,CDOT,2145,PROJECT DEVELOPMENT,15,SCHEDULE SALARY ADJUSTMENTS,8139.0,2019,Chicago Department of Transportation
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,9774,TRANSFER FOR SERVICES - OEMC,250000.0,2019,Finance General
GRANTS,0Z77,TECHNOLOGY INNOVATION FOR PUBLIC SAFETY,57,CPD,2811,TECHNOLOGY OPPORTUNITIES,245,REIMBURSEMENT TO TRAVELERS,4000.0,2019,Chicago Police Department
LOCAL,0100,CORPORATE FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,159,LEASE/PURCHASE EQUIPMENT,109500.0,2019,Department of Finance
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,181,MOBILE COMMUNICATION SERVICES,355556.0,2019,Chicago Fire Department
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,39,STUDENT AS TRAINEES,7525.0,2019,Mayor's Office for People with Disabilities
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9983,FIREMEN'S FUND PENSION ALLOCATION,3351000.0,2019,Finance General
LOCAL,0740,O HARE REVENUE FUND,31,LAW,2005,LAW,143,COURT REPORTING,15647.0,2019,Department of Law
LOCAL,0740,O HARE REVENUE FUND,35,DPS,2005,PROCUREMENT SERVICES,140,PROFESSIONAL AND TECHNICAL SERVICES,97000.0,2019,Department of Procurement Services
LOCAL,0B32,GARBAGE COLLECTION FUND,81,DSS,2020,BUREAU OF SANITATION,12,CONTRACT WAGE - PREVAILING RATE,392599.0,2019,Department of Streets and Sanitation
GRANTS,0Z11,POLICE REFORM,1,MAYOR,2825,Police Reform,44,FRINGE BENEFITS,37581.0,2019,Office of the Mayor
CDBG,0J45,CDBG,50,DFSS,2515,HOMELESS SERVICES,135,DELEGATE AGENCIES,8894140.0,2019,Department of Family and Support Services
GRANTS,0W22,ILLINOIS SECRETARY OF STATE GRANT,84,CDOT,280K,Ill Secretary of State Grant,540,CONSTRUCTION OF BUILDINGS AND STRUCTURES,900000.0,2019,Chicago Department of Transportation
LOCAL,0200,WATER FUND,88,DWM,2025,OPERATIONS AND DISTRIBUTION,521,MAINTENANCE AND CONSTRUCTION,2946315.0,2019,Department of Water Management
LOCAL,0100,CORPORATE FUND,81,DSS,2020,BUREAU OF SANITATION,189,TELEPHONE - NON-CENTREX BILLINGS,9650.0,2019,Department of Streets and Sanitation
LOCAL,0100,CORPORATE FUND,31,LAW,2005,LAW,157,RENTAL EQUIPMENT AND SERVICES,39819.0,2019,Department of Law
LOCAL,0100,CORPORATE FUND,84,CDOT,2140,Sign Management,440,MACHINERY AND EQUIPMENT,2800.0,2019,Chicago Department of Transportation
LOCAL,0100,CORPORATE FUND,78,ETHICS,2005,BOARD OF ETHICS,348,BOOKS AND RELATED MATERIAL,594.0,2019,Board of Ethics
LOCAL,0100,CORPORATE FUND,67,BUILDINGS,2005,BUILDINGS,191,TELEPHONE - RELOCATIONS,500.0,2019,Department of Buildings
LOCAL,0346,LIBRARY FUND,91,CPL,2005,CHICAGO PUBLIC LIBRARY,15,SCHEDULE SALARY ADJUSTMENTS,214453.0,2019,Chicago Public Library
LOCAL,0346,LIBRARY FUND,91,CPL,2005,CHICAGO PUBLIC LIBRARY,9438,REIMBURSEMENT - 2FM,20000.0,2019,Chicago Public Library
GRANTS,0V75,FIRST RESPONDERS ADDICTION RECOVERY,57,CPD,280Q,1st Responders Addiction Rec.,140,PROFESSIONAL AND TECHNICAL SERVICES,2000000.0,2019,Chicago Police Department
CDBG,0J45,CDBG,31,LAW,2515,CODE ENFORCEMENT,15,SCHEDULE SALARY ADJUSTMENTS,242.0,2019,Department of Law
LOCAL,0300,VEHICLE FUND,81,DSS,2045,BUREAU OF STREET OPERATIONS,181,MOBILE COMMUNICATION SERVICES,14000.0,2019,Department of Streets and Sanitation
LOCAL,0300,VEHICLE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,40,ADJUSTED SALARAIES - PER DIEM - PR,51407.0,2019,Chicago Department of Transportation
LOCAL,0200,WATER FUND,88,DWM,2025,OPERATIONS AND DISTRIBUTION,316,GAS - BOTTLED AND PROPANE,161440.0,2019,Department of Water Management
LOCAL,0353,EMERGENCY COMMUN FD,58,OEMC,2705,OEMC,319,CLOTHING,59400.0,2019,Office of Emergency Management and Communications
